timestamp,FR_hip_q,FR_hip_dq,FR_hip_tau,FR_thigh_q,FR_thigh_dq,FR_thigh_tau,FR_calf_q,FR_calf_dq,FR_calf_tau,FL_hip_q,FL_hip_dq,FL_hip_tau,FL_thigh_q,FL_thigh_dq,FL_thigh_tau,FL_calf_q,FL_calf_dq,FL_calf_tau,RR_hip_q,RR_hip_dq,RR_hip_tau,RR_thigh_q,RR_thigh_dq,RR_thigh_tau,RR_calf_q,RR_calf_dq,RR_calf_tau,RL_hip_q,RL_hip_dq,RL_hip_tau,RL_thigh_q,RL_thigh_dq,RL_thigh_tau,RL_calf_q,RL_calf_dq,RL_calf_tau,foot_FL,foot_FR,foot_RL,foot_RR,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
1782122760.462293,0.005836158990859985,0.023253142833709717,0.0,0.6406868696212769,0.054257333278656006,0.6431953310966492,-1.4673104286193848,-0.02022012509405613,8.202801704406738,-0.008621752262115479,-0.05813286080956459,-0.5937187671661377,0.6617600321769714,0.027128666639328003,0.07421484589576721,-1.4531563520431519,-0.024264149367809296,8.4398775100708,0.09611862897872925,0.06588390469551086,-0.24738281965255737,0.8260706663131714,-0.003875523805618286,0.17316797375679016,-1.5334680080413818,0.046506285667419434,8.4398775100708,-0.025874793529510498,0.01937761902809143,0.42055079340934753,0.7012060880661011,0.03100419044494629,2.003800868988037,-1.4695534706115723,0.04852829873561859,7.2545013427734375,5,37,38,32,0.014013847,0.015794553,2.5096154,-0.0074568503,0.012783172,-0.0021305287,0.05626374,0.28491,9.524135
1782122760.4637225,0.005805879831314087,-0.023253142833709717,-0.049476563930511475,0.6406868696212769,0.04263076186180115,0.6679335832595825,-1.4672945737838745,0.0,8.202801704406738,-0.00859147310256958,0.01937761902809143,-0.5937187671661377,0.6617600321769714,0.01937761902809143,0.07421484589576721,-1.4531404972076416,0.0,8.4398775100708,0.09608834981918335,-0.03875523805618286,-0.2721211016178131,0.8261312246322632,0.08138599991798401,0.14842969179153442,-1.5334995985031128,-0.028308173641562462,8.4398775100708,-0.0258445143699646,0.06200838088989258,0.44528907537460327,0.7011758089065552,-0.03100419044494629,2.003800868988037,-1.469569206237793,0.012132074683904648,7.301916122436523,5,37,38,32,0.014022943,0.015803944,2.5096092,-0.003195793,0.015978964,-0.010652643,0.05626374,0.28491,9.524135
1782122760.4649115,0.005805879831314087,-0.023253142833709717,-0.049476563930511475,0.6407171487808228,0.027128666639328003,0.5689804553985596,-1.4672945737838745,0.0,8.202801704406738,-0.00859147310256958,0.01937761902809143,-0.5937187671661377,0.6617600321769714,0.015502095222473145,0.07421484589576721,-1.4531404972076416,0.0,8.4398775100708,0.09608834981918335,-0.03875523805618286,-0.2721211016178131,0.8260706663131714,-0.034879714250564575,0.07421484589576721,-1.5334995985031128,-0.028308173641562462,8.4398775100708,-0.025874793529510498,-0.01937761902809143,0.44528907537460327,0.7012060880661011,0.01937761902809143,2.003800868988037,-1.4695850610733032,-0.010110062547028065,7.301916122436523,5,37,38,32,0.014022943,0.015803944,2.5096092,-0.003195793,0.015978964,-0.010652643,0.05626374,0.28491,9.524135
1782122760.4660363,0.005805879831314087,0.023253142833709717,-0.049476563930511475,0.6407474279403687,0.04263076186180115,0.6679335832595825,-1.4672945737838745,-0.016176098957657814,8.202801704406738,-0.008621752262115479,-0.015502095222473145,-0.5442422032356262,0.6617600321769714,0.0,0.049476563930511475,-1.4531404972076416,0.0,8.392461776733398,0.09611862897872925,-0.03100419044494629,-0.2721211016178131,0.8260706663131714,-0.05038180947303772,0.17316797375679016,-1.5334995985031128,-0.012132074683904648,8.487292289733887,-0.0258445143699646,0.03875523805618286,0.42055079340934753,0.7012060880661011,0.007751047611236572,2.0285391807556152,-1.4695534706115723,0.04852829873561859,7.301916122436523,5,37,38,32,0.01404343,0.015802383,2.5096178,0.003195793,-0.0021305287,-0.012783172,0.05626374,0.29209262,9.48463
1782122760.467145,0.005805879831314087,0.007751047611236572,-0.07421484589576721,0.6407777070999146,0.05813286080956459,0.6431953310966492,-1.4672945737838745,-0.016176098957657814,8.202801704406738,-0.008621752262115479,-0.05813286080956459,-0.5937187671661377,0.6617297530174255,-0.04263076186180115,0.07421484589576721,-1.4531404972076416,0.0,8.392461776733398,0.09611862897872925,-0.06588390469551086,-0.2721211016178131,0.8261312246322632,0.054257333278656006,0.14842969179153442,-1.533483862876892,0.012132074683904648,8.582121849060059,-0.0258445143699646,0.007751047611236572,0.44528907537460327,0.7011758089065552,-0.03875523805618286,2.003800868988037,-1.469569206237793,0.024264149367809296,7.3967461585998535,5,37,38,32,0.014049526,0.015811933,2.5096288,-0.006391586,0.006391586,-0.0074568503,0.023942016,0.31004912,9.5492735
1782122760.4682796,0.0057756006717681885,-0.027128666639328003,-0.024738281965255737,0.6407777070999146,0.04263076186180115,0.6926718950271606,-1.4673104286193848,-0.014154086820781231,8.202801704406738,-0.00859147310256958,0.03100419044494629,-0.5937187671661377,0.6616994738578796,-0.09688809514045715,0.049476563930511475,-1.453124761581421,0.02022012509405613,8.4398775100708,0.09617912769317627,0.0,-0.24738281965255737,0.8261312246322632,0.03100419044494629,0.14842969179153442,-1.5334995985031128,-0.006066037341952324,8.4398775100708,-0.0258142352104187,0.06200838088989258,0.37107422947883606,0.7011758089065552,-0.054257333278656006,2.003800868988037,-1.469569206237793,0.026286162436008453,7.444161415100098,5,37,38,32,0.014043012,0.015780075,2.5096393,-0.0074568503,-0.011717907,-0.006391586,0.023942016,0.31004912,9.5492735
1782122760.4693887,0.0057150572538375854,-0.12401676177978516,-0.049476563930511475,0.6408079862594604,0.09301257133483887,0.6679335832595825,-1.4672945737838745,-0.008088049478828907,8.060556411743164,-0.00859147310256958,0.003875523805618286,-0.5689804553985596,0.6617600321769714,0.0,0.07421484589576721,-1.453124761581421,0.028308173641562462,8.297632217407227,0.09620940685272217,0.03875523805618286,-0.2721211016178131,0.8261312246322632,0.06975942850112915,0.07421484589576721,-1.5334995985031128,-0.0040440247394144535,8.487292289733887,-0.0258142352104187,0.03100419044494629,0.42055079340934753,0.7012060880661011,0.01937761902809143,2.003800868988037,-1.469569206237793,0.026286162436008453,7.3967461585998535,5,37,38,32,0.014043046,0.01577505,2.5096476,-0.006391586,0.009587379,0.0053263213,0.023942016,0.31004912,9.5492735
1782122760.4704862,0.0057150572538375854,-0.12401676177978516,-0.049476563930511475,0.6408079862594604,0.09301257133483887,0.6926718950271606,-1.4672945737838745,-0.012132074683904648,8.060556411743164,-0.008621752262115479,-0.04263076186180115,-0.5937187671661377,0.6617297530174255,-0.05038180947303772,0.12369140982627869,-1.4531404972076416,-0.006066037341952324,8.4398775100708,0.09620940685272217,0.03875523805618286,-0.24738281965255737,0.8261312246322632,0.06975942850112915,0.07421484589576721,-1.5334995985031128,-0.02022012509405613,8.392461776733398,-0.025753676891326904,0.12401676177978516,0.3463359475135803,0.7011758089065552,-0.04263076186180115,2.0285391807556152,-1.469569206237793,0.04852829873561859,7.2545013427734375,5,37,38,32,0.014051557,0.015785003,2.5096521,0.006391586,0.012783172,-0.009587379,0.047884032,0.2789245,9.574412
1782122760.471575,0.0057756006717681885,0.01937761902809143,-0.07421484589576721,0.6407474279403687,-0.023253142833709717,0.6679335832595825,-1.4672945737838745,-0.024264149367809296,8.060556411743164,-0.008621752262115479,-0.034879714250564575,-0.5937187671661377,0.6617903113365173,0.05813286080956459,0.07421484589576721,-1.4531404972076416,0.0020220123697072268,8.392461776733398,0.09620940685272217,0.034879714250564575,-0.22264453768730164,0.8261615037918091,-0.06588390469551086,0.14842969179153442,-1.5334995985031128,-0.04246226325631142,8.392461776733398,-0.025783956050872803,0.05813286080956459,0.42055079340934753,0.7011758089065552,-0.046506285667419434,2.003800868988037,-1.4695534706115723,0.05257232487201691,7.3967461585998535,5,37,38,32,0.014047165,0.01582155,2.509655,-0.011717907,0.038349517,-0.006391586,0.047884032,0.2789245,9.574412
1782122760.4726863,0.0057756006717681885,-0.007751047611236572,-0.024738281965255737,0.6407474279403687,-0.015502095222473145,0.6431953310966492,-1.4672945737838745,-0.024264149367809296,8.060556411743164,-0.00859147310256958,0.007751047611236572,-0.5937187671661377,0.6617600321769714,-0.015502095222473145,0.07421484589576721,-1.4531404972076416,0.0020220123697072268,8.392461776733398,0.09620940685272217,0.034879714250564575,-0.24738281965255737,0.8261009454727173,-0.015502095222473145,0.07421484589576721,-1.5334995985031128,-0.006066037341952324,8.582121849060059,-0.025783956050872803,0.05813286080956459,0.3463359475135803,0.7012060880661011,0.04263076186180115,2.003800868988037,-1.469569206237793,0.016176098957657814,7.3967461585998535,5,37,38,32,0.0140640205,0.015814623,2.5096476,0.012783172,-0.0042610574,-0.011717907,0.047884032,0.2789245,9.574412
